"Name","Street","City","Phone","Email"
"Bazilikum Resto","Verschansingstraat, 61/B","2000 Antwerpen / Anvers","+32 (3) 216.28.69","frankjan@bazilikum.be"
"ALGO [BIZZIE LIZZIE]","Vlaamsekaai, 16","2000 Antwerpen / Anvers","",""
"Ap-i-han","Frankrijklei, 42","2000 Antwerpen / Anvers","+32 (3) 203.07.43",""
"testdepp","Bredestraat 4","2000 Antwerpen / Anvers","1234567890","testdepp@testdepp.org"
"Bloemkool (De)","Groendalstraat, 20","2000 Antwerpen / Anvers","+32 (3) 227.37.42",""
"Brasserie Appelmans, Chilli Club [APPELMANS]","Papenstraatje, 1","2000 Antwerpen / Anvers","+32 (3) 234.27.22","info@brasserieappelmans.be, info@absinthbar.be"
"'T Soet Brood","Waalsekaai, 40","2000 Antwerpen / Anvers","+32 (3) 238.38.52",""
"Abdalla/Mahmoud [PLEIN 4]","Falconplein, 4","2000 Antwerpen / Anvers","+32 (3) 231.51.00",""
"Bar Italia","Graaf van Egmontstraat, 59","2000 Antwerpen / Anvers","+32 (3) 216.17.48",""
"Bacino bvba","Torfbrug, 5","2000 Antwerpen / Anvers","+32 (3) 231.17.79",""
"Nguyen/Van Dung [REST CAMBODGE]","Bourlastraat, 19","2000 Antwerpen / Anvers","+32 (3) 234.09.79",""
"Xaverius","Handschoenmarkt, 16","2000 Antwerpen / Anvers","+32 (3) 231.45.41",""
"Hofstraat 24","Hofstraat, 24","2000 Antwerpen / Anvers","+32 (3) 225.05.45","hofstraat24@skynet.be"
"Da Vinci 2","Verschansingstraat, 1","2000 Antwerpen / Anvers","+32 (3) 237.41.71",""
"Kiekekot (Restaurant)","Grote Markt, 35","2000 Antwerpen / Anvers","+32 (3) 232.15.02",""
"Sushi Bar Umi","Groenplaats, 18","2000 Antwerpen / Anvers","+32 (3) 232.44.88",""
"Rucolla bvba [DE GODEVAART]","Wolstraat, 45","2000 Antwerpen / Anvers","+32 (3) 231.89.94",""
"Van den Bergh/Astrid","Bordeauxstraat, 11","2000 Antwerpen / Anvers","+32 (3) 324.75.09",""
"Yamayu Santatsu bvba","Ossenmarkt, 19","2000 Antwerpen / Anvers","+32 (3) 234.09.49",""
"Leja/Deoborah [CROISSANTY]","Melkmarkt, 1","2000 Antwerpen / Anvers","+32 (3) 232.83.99",""
"Verley/Linda","Suikerrui, 14","2000 Antwerpen / Anvers","+32 (3) 227.30.85",""
"Poupaert Herman","Wisselstraat, 4","2000 Antwerpen / Anvers","+32 (3) 233.67.28",""
"Bagetje ('T) [BAGUETJE]","Kasteelpleinstraat, 43","2000 Antwerpen / Anvers","+32 (3) 233.92.95",""
"Camaco [KOFFIEPALET]","Melkmarkt, 34","2000 Antwerpen / Anvers","",""
"K.M.P. Deckers [TAVERNE BOVEN DE WET]","Bolivarplaats, 1","2000 Antwerpen / Anvers","+32 (3) 238.19.47","bovendewet@telenet.be"
"Cafenova","Pelgrimstraat, 17","2000 Antwerpen / Anvers","+32 (3) 234.08.09",""
"Chalghmi/Hamdi [PRIMAVERA]","Paardenmarkt, 99","2000 Antwerpen / Anvers","+32 (3) 232.00.74",""
"Van overloop/Steven [DE TANKSTOP]","Vlasmarkt, 14","2000 Antwerpen / Anvers","",""
"De Grieken","Vlasmarkt, 8","2000 Antwerpen / Anvers","+32 (3) 213.12.10",""
"Algatan","Meir, 60","2000 Antwerpen / Anvers","+32 (3) 227.54.88",""
"Souffleur (De) [DE SOUFFLEUR]","Nieuwstad, 4","2000 Antwerpen / Anvers","+32 (3) 233.25.85",""
"Valencia Restaurant gcv, Valencia","Oudeleeuwenrui, 28","2000 Antwerpen / Anvers","+32 (3) 233.17.17",""
"De Twee Vuistjes","Vlasmarkt, 36","2000 Antwerpen / Anvers","+32 (3) 232.96.52",""
"Dansing Chocola","Kloosterstraat, 159","2000 Antwerpen / Anvers","+32 (3) 237.19.05",""
"Leclair/A.","Italiëlei, 50","2000 Antwerpen / Anvers","+32 (3) 231.14.09",""
"S.L.B.","Ankerrui, 46","2000 Antwerpen / Anvers","+32 (3) 288.73.89",""
"Butterfly Garden bvba","Wisselstraat, 5","2000 Antwerpen / Anvers","+32 (3) 226.50.96",""
"Flamant Dining [FLAMANT HOME INTERIORS]","Lange Gasthuisstraat, 12","2000 Antwerpen / Anvers","+32 (3) 227.74.41",""
"G&P PROJECTS","Komedieplaats, 15","2000 Antwerpen / Anvers","",""
"De Zuilen bvba","Wolstraat, 5","2000 Antwerpen / Anvers","+32 (3) 225.26.92","info@dezuilen.be"
"Stereo Sushi [RIVER CAFE]","Luikstraat, 6","2000 Antwerpen / Anvers","+32 (3) 248.67.27",""
"BVBA De Wael [DE WAEL]","Leopold de Waelstraat, 28","2000 Antwerpen / Anvers","+32 (3) 288.08.00",""
